"","freq_mean","freq_sd"
"1",1.90971422420785e-05,2.04085336218656e-06
"2",2.50408167632205e-05,1.87171273887341e-06
"3",5.41319302443749e-05,2.54877702809453e-06
"4",1.15533756636508e-05,1.17769008382584e-06
"5",2.54567154876455e-05,1.77186368455423e-06
"6",3.64613791758634e-05,1.99876392113684e-06
"7",3.73294298247688e-05,2.12673972765255e-06
"8",2.05656800373984e-05,1.58141907017435e-06
"9",3.73922802672254e-05,2.02356241499156e-06
"10",6.63622793836085e-05,3.19970511113067e-06
"11",5.93931793562554e-05,2.50826465743086e-06
"12",2.30640272920532e-05,1.72318482070532e-06
"13",7.58942329806163e-06,1.00505820472112e-06
"14",2.28524389218719e-05,1.62830767121078e-06
"15",2.48107825405202e-05,1.69110658036071e-06
"16",1.31767693661894e-05,1.36706877443848e-06
"17",3.47610821124539e-05,2.20930982240489e-06
"18",4.14809206209754e-05,2.3243143080609e-06
"19",6.64166458956491e-05,2.66761602241115e-06
"20",3.08380865269926e-05,1.89957469971002e-06
"21",4.05878418493825e-05,2.15906377011949e-06
"22",5.76369290080506e-05,2.73995526621405e-06
"23",5.57164905988899e-05,2.50150263190622e-06
"24",4.89480959604864e-05,2.36849957530577e-06
"25",4.04085446560186e-05,2.29990992518545e-06
"26",7.44830892699763e-05,2.83349670138577e-06
"27",6.68109006198202e-05,2.76198800830636e-06
"28",3.38282921704188e-05,1.97839549312691e-06
"29",1.4883152630819e-05,1.38862504031167e-06
"30",2.91988113746576e-05,2.17562310872973e-06
"31",7.80572474119002e-05,3.01864215392278e-06
"32",2.22931980712836e-05,1.67935581169587e-06
"33",6.19864361780907e-05,2.82041191680682e-06
"34",6.04851981322109e-05,2.80191002637397e-06
"35",7.61123556534077e-05,3.13201825860021e-06
"36",4.00863597018719e-05,2.43099114787879e-06
"37",8.82866184033494e-05,3.43159826054145e-06
"38",9.73094806445206e-05,3.5580387088348e-06
"39",0.000107345336023187,3.45347004243733e-06
"40",8.32166444875338e-05,3.44819208050245e-06
"41",8.09958204250893e-05,3.10701101471689e-06
"42",0.000132518459479082,3.8914760077426e-06
"43",7.18203004934736e-05,2.85717757619384e-06
"44",5.39988686618425e-05,2.5598622339579e-06
"45",2.1171736194541e-05,1.6852060249268e-06
"46",2.81354190989394e-05,1.76708713671858e-06
"47",6.82824593715167e-05,2.73492386113505e-06
"48",2.55142878392991e-05,1.83449547551698e-06
"49",8.08444341868986e-06,1.04547242887462e-06
"50",2.28885308207017e-05,1.55643223065013e-06
"51",8.12458865728451e-06,1.12851686810022e-06
"52",1.15053439507496e-05,1.20372786697662e-06
"53",2.36810471934232e-05,1.66883504223295e-06
"54",2.83038740439728e-05,1.9777888170939e-06
"55",3.50226051746616e-05,2.40226772184207e-06
"56",1.98715154601392e-05,1.66932069188504e-06
"57",2.38016984762436e-05,1.64937749302735e-06
"58",4.52362996462504e-05,2.26536242544508e-06
"59",4.84317455697093e-05,2.17967008380418e-06
"60",1.62738969029715e-05,1.47296360528856e-06
"61",8.73189534750694e-06,1.02482222086657e-06
"62",2.24002097108746e-05,1.67946788094503e-06
"63",1.94615572692893e-05,1.82905636370652e-06
"64",1.70867339093525e-05,1.52352459578171e-06
"65",3.33971053646929e-05,1.91779481400441e-06
"66",0.00018989306439935,2.7098722694e-06
"67",0.00027924057434112,2.73576912726064e-06
"68",3.28710178184015e-05,1.79366703334146e-06
"69",6.47275390360156e-05,2.86816089835758e-06
"70",0.000202886125316427,3.9697751179861e-06
"71",0.000133833527668509,3.36860475916179e-06
"72",4.93538119960501e-05,2.44991568809863e-06
"73",5.36933136741537e-05,2.60333797085125e-06
"74",0.00034317644570109,5.20768881967958e-06
"75",0.000151018919368359,4.07477980351581e-06
"76",4.60202018110635e-05,2.34540605375064e-06
"77",2.60274136719884e-05,1.5225137703221e-06
"78",0.00021439142508074,3.02560447306541e-06
